State Name,District Name,District Helpline Number,State Helpline Number
Kerala ,Alappuzha,0477-2239999,0471-2552056 
Kerala ,Ernakulam,0484-2368802,0471-2552056 
Kerala ,Idukki,8547784694,0471-2552056 
Kerala ,Kannur,0497 2700194,0471-2552056 
Kerala ,Kasargod,9037730304,0471-2552056 
Kerala ,Kollam,0474 2797609,0471-2552056 
Kerala ,Kottayam,0481 2304800,0471-2552056 
Kerala ,Kozhikode,"0495 2371471",0471-2552056 
Kerala ,Malappuram,0483 2737858,0471-2552056 
Kerala ,Palakkad,0491 2505264,0471-2552056 
Kerala ,Pathanamthitta,0468 2228220,0471-2552056 
Kerala ,Thiruvananthapuram,0471 2466828,0471-2552056 
Kerala ,Thrissur,9400410720,0471-2552056 
Kerala ,Wayanad,0493 6204151,0471-2552056 
Madhya Pradesh,Agar Malwa,"07362 292100",104
Madhya Pradesh,Alirajpur,8815835029,104
Madhya Pradesh,Anuppur,07543 225501,104
Madhya Pradesh,Ashok Nagar,07659 222563,104
Madhya Pradesh,Balaghat,"07632 240102",104
Madhya Pradesh,Barwani,07290 224966,104
Madhya Pradesh,Betul,07141 230402,104
Madhya Pradesh,Bhind,7534230013,104
Madhya Pradesh,Bhopal,0755 2704201,104
Madhya Pradesh,Burhanpur,073252 42042,104
Madhya Pradesh,Chhatarpur,07682 248546,104
Madhya Pradesh,Chhindwara,"07162 243423",104
Madhya Pradesh,Damoh,7587986606,104
Madhya Pradesh,Datia,8461946705,104
Madhya Pradesh,Dewas,07272 250666,104
Madhya Pradesh,Dhar,"07292 235707",104
Madhya Pradesh,Dindori,07644 234600,104
Madhya Pradesh,Khandwa,"0733 2224545",104
Madhya Pradesh,Guna,07542 252746,104
Madhya Pradesh,Gwalior,0751 2461574,104
Madhya Pradesh,Harda,07577 225007,104
Madhya Pradesh,Hoshangabad,07574 254446,104
Madhya Pradesh,Indore,"0731 2567333",104
Madhya Pradesh,Jabalpur,0761 2637501,104
Madhya Pradesh,Jhabua,07392 243315,104
Madhya Pradesh,Katni,07622 422364,104
Madhya Pradesh,Mandla,7642251079,104
Madhya Pradesh,Mandsaur,"07422 255596",104
Madhya Pradesh,Morena,07532 223012,104
Madhya Pradesh,Narsinghpur,07792 230681,104
Madhya Pradesh,Neemuch,07423 228501,104
Madhya Pradesh,Niwari,07659 222563,104
Madhya Pradesh,Panna,07732 253362,104
Madhya Pradesh,Raisen,07482 222217,104
Madhya Pradesh,Rajgarh,07372 255067,104
Madhya Pradesh,Ratlam,07412 242400,104
Madhya Pradesh,Rewa,07662 255142,104
Madhya Pradesh,Sagar,07582 264390,104
Madhya Pradesh,Satna,07672 231413,104
Madhya Pradesh,Sehore,07562 226470,104
Madhya Pradesh,Seoni,7692220323,104
Madhya Pradesh,Shahdol,9993260440,104
Madhya Pradesh,Shajapur,07364 226727,104
Madhya Pradesh,Sheopur,07530 222631,104
Madhya Pradesh,Shivpuri,07492 233881,104
Madhya Pradesh,Sidhi,07822 250123,104
Madhya Pradesh,Singrauli,7587981392,104
Madhya Pradesh,Tikamgarh,07683 242242,104
Madhya Pradesh,Ujjain,0734 2520700,104
Madhya Pradesh,Umaria,7653222314,104
Madhya Pradesh,Vidisha,07592 237880,104
Maharashtra,Akola,0724-24242444,020-26127394
Maharashtra,Aurangabad,0240 2331077,020-26127394
Maharashtra,Ahmed Nagar,0241-2323844,020-26127394
Maharashtra,Amravati,0721-2662025,020-26127394
Maharashtra,Beed,02442 – 222604,020-26127394
Maharashtra,Bhandara,07184-251222,020-26127394
Maharashtra,Buldhana,07262-242683,020-26127394
Maharashtra,Chandrapur,07172-251597,020-26127394
Maharashtra,Dhule,02562-288066,020-26127394
Maharashtra,Gadchiroli,07132-222031,020-26127394
Maharashtra,Gondia,07182 230196,020-26127394
Maharashtra,Hingoli,02456 222560,020-26127394
Maharashtra,Jalna,02482-223132,020-26127394
Maharashtra,Jalgaon,6366783101,020-26127394
Maharashtra,Kolhapur,0231 2659232,020-26127394
Maharashtra,Latur,02382-220204,020-26127394
Maharashtra,Mumbai City,022 22664232,020-26127394
Maharashtra,Mumbai Suburban,022 26556799,020-26127394
Maharashtra,Nadurbar,02564-210006,020-26127394
Maharashtra,Nagpur,0712-2562668,020-26127394
Maharashtra,Nanded,02462-235077,020-26127394
Maharashtra,Nashik,0253- 2315080,020-26127394
Maharashtra,Osmanabad,02472-225618,020-26127394
Maharashtra,Parbhani,02452-226400,020-26127394
Maharashtra,Palghar,02525-297474,020-26127394
Maharashtra,Pune,020-26122114,020-26127394
Maharashtra,Raigad,02141 222118,020-26127394
Maharashtra,Ratnagiri,02352 226248,020-26127394
Maharashtra,Satara,02162-232349,020-26127394
Maharashtra,Sangli,0233-2600500,020-26127394
Maharashtra,Solapur,0217-2731012,020-26127394
Maharashtra,Sindhudurg,02362 228847,020-26127394
Maharashtra,Thane,"022-25301740",020-26127394
Maharashtra,Yavatmal,07232-240720,020-26127394
Maharashtra,Wardha,07152-243446,020-26127394
Maharashtra,Washim,07252-234238,020-26127394
Manipur,Bishnupur,9862551714,3852411668
Manipur,Chandel,8974143100,3852411668
Manipur,Churachandpur,9862088197,3852411668
Manipur,Imphal-East,9612687395,3852411668
Manipur,Imphal-West,7005066236,3852411668
Manipur,Jiribam,7085344776,3852411668
Manipur,Kakching,8974009015,3852411668
Manipur,Kamjong,8731934038,3852411668
Manipur,Kangpokpi,9402882745,3852411668
Manipur,Noney,8730935885,3852411668
Manipur,Pherzawl,9862102592,3852411668
Manipur,Senapati,9612506122,3852411668
Manipur,Tamenglong,9366057183,3852411668
Manipur,Tengnoupal,9862923835,3852411668
Manipur,Thoubal,8974009015,3852411668
Manipur,Ukhrul,9436293451,3852411668
Meghalaya,East Khasi Hills,0364-2502094,108
Meghalaya,Ri Bhoi,03638-232028,108
Meghalaya,West Khasi Hills,8974579811,108
Meghalaya,South West Khasi Hills,6909904336,108
Meghalaya,West Jaintia Hills,6009693315,108
Meghalaya,East Jaintia Hills,7628079707,108
Meghalaya,West Garo Hills,6009926806,108
Meghalaya,East Garo Hills,9485113132,108
Meghalaya,South Garo Hills,7085100406,108
Meghalaya,North Garo Hills,9485113132,108
Mizoram,Aizwal,,102
Mizoram,Champhai,,102
Mizoram,Hnahthial,,102
Mizoram,Khawzawl,,102
Mizoram,Kolasib,0389-2323336,102
Mizoram,Lawngtlai,,102
Mizoram,Lunglei,,102
Mizoram,Mamit,9612467068,102
Mizoram,Saiha,03835-222055,102
Mizoram,Saitual,,102
Mizoram,Serchhip,6033128124,102
Nagaland,Dimapur,03862 248530,7005539653
Nagaland,Kiphire,60099683167,7005539653
Nagaland,Kohima,8575563906,7005539653
Nagaland,Longleng,,7005539653
Nagaland,Mokokchung,7630007954,7005539653
Nagaland,Mon,9862078993,7005539653
Nagaland,Peren,,7005539653
Nagaland,Phek,,7005539653
Nagaland,Tuensang,7005539653,7005539653
Nagaland,Wokha,,7005539653
Nagaland,Zunheboto,,7005539653
Odisha,Angul,06764-234218,9439994859
Odisha,Balangir,1077,9439994859
Odisha,Baleswar,1077,9439994859
Odisha,Bargarh,06646 232112,9439994859
Odisha,Bhadrak,06784 251881,9439994859
Odisha,Boudh,06841 222023,9439994859
Odisha,Cuttack,1077,9439994859
Odisha,Debagarh,06641-226843,9439994859
Odisha,Dhenkanal,06762 221376,9439994859
Odisha,Gajapati,06815- 222100,9439994859
Odisha,Ganjam,0680 2224798,9439994859
Odisha,Jagatsinghapur,1077,9439994859
Odisha,Jajapur,1077,9439994859
Odisha,Jharsuguda,6742390466,9439994859
Odisha,Kalahandi,1077,9439994859
Odisha,Kandhamal,06842-253650,9439994859
Odisha,kendrapara,06727-232803,9439994859
Odisha,Kendujhar,06766-255438,9439994859
Odisha,Khorda,06755-223178,9439994859
Odisha,Koraput,1077,9439994859
Odisha,Malkangiri,06861-231372,9439994859
Odisha,Mayurbhanj,1077,9439994859
Odisha,Nabarangpur,1077,9439994859
Odisha,Nayagarh,1077,9439994859
Odisha,Nuapada,0667-8225357,9439994859
Odisha,Puri,1077,9439994859
Odisha,Rayagada,1077,9439994859
