State Name,District Name,District Helpline Number,State Helpline Number
Kerala ,Pathanamthitta,0468 2228220,0471-2552056 
Kerala ,Thiruvananthapuram,0471 2466828,0471-2552056 
Kerala ,Thrissur,9400410720,0471-2552056 
Kerala ,Wayanad,0493 6204151,0471-2552056 
Madhya Pradesh,Agar Malwa,07362 292100,104
Madhya Pradesh,Alirajpur,8815835029,104
Madhya Pradesh,Anuppur,07543 225501,104
Madhya Pradesh,Ashok Nagar,07659 222563,104
Madhya Pradesh,Balaghat,07632 240102104
Madhya Pradesh,Barwani,07290 224966,104
Madhya Pradesh,Betul,07141 230402,104
Madhya Pradesh,Bhind,7534230013,104
Madhya Pradesh,Bhopal,0755 2704201,104
Madhya Pradesh,Burhanpur,073252 42042,104
Madhya Pradesh,Chhatarpur,07682 248546,104
Madhya Pradesh,Chhindwara,07162 243423,104
Madhya Pradesh,Damoh,7587986606,104
Madhya Pradesh,Datia,8461946705,104
Madhya Pradesh,Dewas,07272 250666,104
Madhya Pradesh,Dhar,07292 235707,104
Madhya Pradesh,Dindori,07644 234600,104
Madhya Pradesh,Khandwa,0733 2224545,104
Madhya Pradesh,Guna,07542 252746,104
Madhya Pradesh,Gwalior,0751 2461574,104
Madhya Pradesh,Harda,07577 225007,104
Madhya Pradesh,Hoshangabad,07574 254446,104
Madhya Pradesh,Indore,0731 2567333,104
Madhya Pradesh,Jabalpur,0761 2637501,104
Madhya Pradesh,Jhabua,07392 243315,104
Madhya Pradesh,Katni,07622 422364,104
Madhya Pradesh,Mandla,7642251079,104
Madhya Pradesh,Mandsaur,07422 255596,104
Madhya Pradesh,Morena,07532 223012,104
Madhya Pradesh,Narsinghpur,07792 230681,104
Madhya Pradesh,Neemuch,07423 228501,104
Madhya Pradesh,Niwari,07659 222563,104
Madhya Pradesh,Panna,07732 253362,104
Madhya Pradesh,Raisen,07482 222217,104
Madhya Pradesh,Rajgarh,07372 255067,104
Madhya Pradesh,Ratlam,07412 242400,104
Madhya Pradesh,Rewa,07662 255142,104
Madhya Pradesh,Sagar,07582 264390,104
Madhya Pradesh,Satna,07672 231413,104
Madhya Pradesh,Sehore,07562 226470,104
Madhya Pradesh,Seoni,7692220323,104
Madhya Pradesh,Shahdol,9993260440,104
Madhya Pradesh,Shajapur,07364 226727,104
Madhya Pradesh,Sheopur,07530 222631,104
Madhya Pradesh,Shivpuri,07492 233881,104
Madhya Pradesh,Sidhi,07822 250123,104
Madhya Pradesh,Singrauli,7587981392,104
Madhya Pradesh,Tikamgarh,07683 242242,104
Madhya Pradesh,Ujjain,0734 2520700,104
Madhya Pradesh,Umaria,7653222314,104
Madhya Pradesh,Vidisha,07592 237880,104
Meghalaya,East Khasi Hills,0364-2502094,108
Meghalaya,Ri Bhoi,03638-232028,108
Meghalaya,West Khasi Hills,8974579811,108
Meghalaya,South West Khasi Hills,6909904336,108
Meghalaya,West Jaintia Hills,6009693315,108
Meghalaya,East Jaintia Hills,7628079707,108
Meghalaya,West Garo Hills,6009926806,108
Meghalaya,East Garo Hills,9485113132,108
Meghalaya,South Garo Hills,7085100406,108
Meghalaya,North Garo Hills,9485113132,108
Odisha,Angul,06764-234218,9439994859
Odisha,Balangir,1077,9439994859
Odisha,Baleswar,1077,9439994859
Odisha,Bargarh,06646 232112,9439994859
Odisha,Bhadrak,06784 251881,9439994859
Odisha,Boudh,06841 222023,9439994859
Odisha,Cuttack,1077,9439994859
Odisha,Debagarh,06641-226843,9439994859
Odisha,Dhenkanal,06762 221376,9439994859
Odisha,Gajapati,06815- 222100,9439994859
Odisha,Ganjam,0680 2224798,9439994859
Odisha,Jagatsinghapur,1077,9439994859
Odisha,Jajapur,1077,9439994859
Odisha,Jharsuguda,6742390466,9439994859
Odisha,Kalahandi,1077,9439994859
Odisha,Kandhamal,06842-253650,9439994859
Odisha,kendrapara,06727-232803,9439994859
Odisha,Kendujhar,06766-255438,9439994859
Odisha,Khorda,06755-223178,9439994859
Odisha,Koraput,1077,9439994859
Odisha,Malkangiri,06861-231372,9439994859
Odisha,Mayurbhanj,1077,9439994859
Odisha,Nabarangpur,1077,9439994859
Odisha,Nayagarh,1077,9439994859
Odisha,Nuapada,0667-8225357,9439994859
Odisha,Puri,1077,9439994859
Odisha,Rayagada,1077,9439994859
Odisha,Sambalpur,1077,9439994859
Odisha,Sonapur,06654 220362,9439994859
Odisha,Sundergarh,06622-272233,9439994859
Uttar Pradesh,Allahabad,0532-2641577,18001805145
Uttar Pradesh,Ambedkar Nagar,05271-244250,18001805145
Uttar Pradesh,Amroha,05922-253061,18001805145
Uttar Pradesh,Jyotiba Phule Nagar,05683-249660,18001805145
Uttar Pradesh,Azamgarh,05462-246831,18001805145
Uttar Pradesh,Badaun,05832-266114,18001805145
Uttar Pradesh,Bahraich,05252-232417,18001805145
Uttar Pradesh,Ballia,05331-232796,18001805145
Uttar Pradesh,Banda,05192-224460,18001805145
Uttar Pradesh,Barabanki,05248-224849,18001805145
Uttar Pradesh,Bareilly,0581-2428914,18001805145
Uttar Pradesh,Basti,05542-287774,18001805145
Uttar Pradesh,Bijnor,01342-262031,18001805145
Uttar Pradesh,Bulandshahr,05732-28336,18001805145
Uttar Pradesh,Chandauli,05412-262557,18001805145
Uttar Pradesh,Chitrakoot,05198-235118,18001805145
Uttar Pradesh,Deoria,05568-222505,18001805145
Uttar Pradesh,Etah,0542-234320,18001805145
Uttar Pradesh,Etawah,05688-259697,18001805145
Uttar Pradesh,Faizabad,7081670802,18001805145
Uttar Pradesh,Farrukhabad,05692-235423,18001805145
Uttar Pradesh,Fatehpur,05180-223012,18001805145
Uttar Pradesh,Firozabad,9454417581,18001805145
Uttar Pradesh,Gautam Buddha nagar,18004192211,18001805145
Uttar Pradesh,Ghaziabad,0120-2965757,18001805145
Uttar Pradesh,Ghazipur,0548-2224040,18001805145
Uttar Pradesh,Gonda,05262-230125,18001805145
Uttar Pradesh,Gorakhpur,0551-2201796,18001805145
Uttar Pradesh,Hamirpur,05282-225491,18001805145
Uttar Pradesh,Hapur,0122-2304834,18001805145
Uttar Pradesh,Hardoi,05852-234629,18001805145
Uttar Pradesh,Hathras,05722-227076,18001805145
Uttar Pradesh,Jaunpur,05452-260501,18001805145
Uttar Pradesh,Kanpur Dehat,05111-271366,18001805145
Uttar Pradesh,Kanpur Nagar,18001805159,18001805145
Uttar Pradesh,Kaushambi,05331-232796 ,18001805145
Uttar Pradesh,Kushinagar,9984943395,18001805145
Uttar Pradesh,Lakhimpur,05872-252715,18001805145
Uttar Pradesh,Lalitpur,05176-272335,18001805145
Uttar Pradesh,Maharajganj,05523-222162,18001805145
Uttar Pradesh,Mahoba,05281-254901,18001805145
Uttar Pradesh,Mainpuri,05672-240251,18001805145
Uttar Pradesh,Mathura,9454417583,18001805145
Uttar Pradesh,Mau,0547-2500411,18001805145
Uttar Pradesh,Meerut,0121-2664016,18001805145
Uttar Pradesh,Mirzapur,05442-256357,18001805145
Uttar Pradesh,Moradabad,0591-2412728,18001805145
Uttar Pradesh,Muzaffarnagar,0131-2436918,18001805145
Uttar Pradesh,Pilibhit,05882-244116,18001805145
Uttar Pradesh,Pratapgarh,7839564639,18001805145
Uttar Pradesh,RaeBareli,0535-2203214,18001805145
Uttar Pradesh,Rampur,9045299525,18001805145
Uttar Pradesh,Saharanpur,0132-2723971,18001805145
Uttar Pradesh,Sant Kabir nagar,05547-226505,18001805145
Uttar Pradesh,Sant Ravidas nagar,0514-250223,18001805145
Uttar Pradesh,Sambhal,05921-243035,18001805145
Uttar Pradesh,Shahjahanpur,05842-280401,18001805145
Uttar Pradesh,Shamli,01398-270203,18001805145
Uttar Pradesh,Shrawasti,9454417486,18001805145
Uttar Pradesh,Siddharthnagar,05544-222716,18001805145
Uttar Pradesh,Sitapur,05862-245753,18001805145
Uttar Pradesh,Sonbhadra,05444-222384,18001805145
Uttar Pradesh,Sultanpur,05362-240203,18001805145
Uttar Pradesh,Unnao,0515-2820707,18001805145
Uttar Pradesh,Varanasi,0542-2508077,18001805145
Uttar Pradesh,Amethi,05368-244577,18001805145
Uttar Pradesh,Bagpat,0121-2220027,18001805145
Uttar Pradesh,Agra,0562-2260550,18001805145
Uttar Pradesh,Aligarh,0571-2420101,18001805145
Uttar Pradesh,Balrampur,9454417381,18001805145
Uttar Pradesh,Jalaun,5162-259999,18001805145
Uttar Pradesh,Jhansi,9450075414,18001805145
Uttar Pradesh,Kannauj,05494-235898,18001805145
Uttar Pradesh,Lucknow,0522-2622627,18001805145
Uttarakhand,Almora ,05962-237875,104
Uttarakhand,Bageshwar ,05963-220197,104
Uttarakhand,Chamoli,01372-251437,104
