STATE NAME,District Name,District Helpline Number,State Helpline Number
HARYANA,Mahendragarh,01282-251202,8558893911
HARYANA,Nuh,01267-274600,8558893911
HARYANA,Palwal,01275-298052 ,8558893911
HARYANA,Panchkula,0172-2573901,8558893911
HARYANA,Panipat,0180-2640255,8558893911
HARYANA,Rewari,1274225145,8558893911
HARYANA,Rohtak,01262-244163,8558893911
HARYANA,Sirsa,9812300947,8558893911
HARYANA,Yamuna Nagar,01732-237801,8558893911
HIMACHAL PRADESH,Bilaspur (HP),1077,104
HIMACHAL PRADESH,Chamba,1077,104
HIMACHAL PRADESH,Hamirpur(HP),01972- 221277,104
HIMACHAL PRADESH,Kangra,1077,104
HIMACHAL PRADESH,Kinnaur,1077,104
HIMACHAL PRADESH,Kullu,1077,104
HIMACHAL PRADESH,Lahul & Spiti,1077,104
HIMACHAL PRADESH,Mandi,1077,104
HIMACHAL PRADESH,Shimla,1077,104
HIMACHAL PRADESH,Siramur,1077,104
HIMACHAL PRADESH,Solan,01792-221234,104
HIMACHAL PRADESH,Una,1077,104
JHARKHAND,Bokaro,06542-223475,104
JHARKHAND,Chatra,06541-253219,104
JHARKHAND,Deoghar,9771935367,104
JHARKHAND,Dhanbad,9835352971,104
JHARKHAND,Dumka,9508250080,104
JHARKHAND,East-Singhbhum,0657-2440111,104
JHARKHAND,Garhwa,6561222236,104
JHARKHAND,Giridh,06532-228828,104
JHARKHAND,Godda,06422-222002,104
JHARKHAND,Gumla,9973763799,104
JHARKHAND,Hazaribag,8002529349,104
JHARKHAND,Jamtara,06433-222245,104
JHARKHAND,Khunti,7979981076,104
JHARKHAND,Koderma,06534-252685,104
JHARKHAND,Latehar,06565-247981,104
JHARKHAND,Lohardaga,100,104
JHARKHAND,Pakur,06435-222065,104
JHARKHAND,Palamau,06562-222077,104
JHARKHAND,Ramgarh,06553-261522,104
JHARKHAND,Ranchi,1950,104
JHARKHAND,Sahibganj,9006963963,104
JHARKHAND,Seraikela-Kharsawan,9798302485,104
JHARKHAND,Simdega,06207-651659,104
JHARKHAND,West-Sighbhum,7479411489,104
KARNATAKA,Bagalkot,1077,104
KARNATAKA,Bangalore,080-22967200,104
KARNATAKA,Bangalore Rural,080-29781021,104
KARNATAKA,Belgaum,0831-2424284,104
KARNATAKA,Bellary,08392 -277100,104
KARNATAKA,Bidar,18004254316,104
KARNATAKA,Bijapur (KAR),8352221261,104
KARNATAKA,Chamrajnagar,08226-223160,104
KARNATAKA,Chikkaballapur,08156- 277071,104
KARNATAKA,Chickmagalur,08262-238950,104
KARNATAKA,Chitradurga,08194-222050,104
KARNATAKA,Dakshina Kannada,0824-2442590,104
KARNATAKA,Davangere,08192-257778,104
