STATE NAME, District Name, District Helpline Number, State Helpline Number
UTTAR PRADESH, Fatehpur, 05180-223012, 18001805145
UTTAR PRADESH, Firozabad, 9454417581, 18001805145
UTTAR PRADESH, Gautam Buddha nagar, 18004192211, 18001805145
UTTAR PRADESH, Ghaziabad, 0120-2965757, 18001805145
UTTAR PRADESH, Ghazipur, 0548-2224040, 18001805145
UTTAR PRADESH, Gonda, 05262-230125, 18001805145
UTTAR PRADESH, Gorakhpur, 0551-2201796, 18001805145
UTTAR PRADESH, Hamirpur, 05282-225491, 18001805145
UTTAR PRADESH, Hapur, 0122-2304834, 18001805145
UTTAR PRADESH, Hardoi, 05852-234629, 18001805145
UTTAR PRADESH, Hathras, 05722-227076, 18001805145
UTTAR PRADESH, Jaunpur, 05452-260501, 18001805145
UTTAR PRADESH, Kanpur Dehat, 05111-271366, 18001805145
UTTAR PRADESH, Kanpur Nagar, 18001805159, 18001805145
UTTAR PRADESH, Kaushambi, 05331-232796 , 18001805145
UTTAR PRADESH, Kushinagar, 9984943395, 18001805145
UTTAR PRADESH, Lakhimpur, 05872-252715, 18001805145
UTTAR PRADESH, Lalitpur, 05176-272335, 18001805145
UTTAR PRADESH, Maharajganj, 05523-222162, 18001805145
UTTAR PRADESH, Mahoba, 05281-254901, 18001805145
UTTAR PRADESH, Mainpuri, 05672-240251, 18001805145
UTTAR PRADESH, Mathura, 9454417583, 18001805145
UTTAR PRADESH, Mau, 0547-2500411, 18001805145
UTTAR PRADESH, Meerut, 0121-2664016, 18001805145
UTTAR PRADESH, Mirzapur, 05442-256357, 18001805145
UTTAR PRADESH, Moradabad, 0591-2412728, 18001805145
UTTAR PRADESH, Muzaffarnagar, 0131-2436918, 18001805145
UTTAR PRADESH, Pilibhit, 05882-244116, 18001805145
UTTAR PRADESH, Pratapgarh, 7839564639, 18001805145
UTTAR PRADESH, RaeBareli, 0535-2203214, 18001805145
UTTAR PRADESH, Rampur, 9045299525, 18001805145
UTTAR PRADESH, Saharanpur, 0132-2723971, 18001805145
UTTAR PRADESH, Sant Kabir nagar, 05547-226505, 18001805145
UTTAR PRADESH, Sant Ravidas nagar, 0514-250223, 18001805145
UTTAR PRADESH, Sambhal, 05921-243035, 18001805145
UTTAR PRADESH, Shahjahanpur, 05842-280401, 18001805145
UTTAR PRADESH, Shamli, 01398-270203, 18001805145
UTTAR PRADESH, Shrawasti, 9454417486, 18001805145
UTTAR PRADESH, Siddharthnagar, 05544-222716, 18001805145
UTTAR PRADESH, Sitapur, 05862-245753, 18001805145
UTTAR PRADESH, Sonbhadra, 05444-222384, 18001805145
UTTAR PRADESH, Sultanpur, 05362-240203, 18001805145
UTTAR PRADESH, Unnao, 0515-2820707, 18001805145
UTTAR PRADESH, Varanasi, 0542-2508077, 18001805145
UTTAR PRADESH, Amethi, 05368-244577, 18001805145
UTTAR PRADESH, Bagpat, 0121-2220027, 18001805145
UTTAR PRADESH, Agra, 0562-2260550, 18001805145
UTTAR PRADESH, Aligarh, 0571-2420101, 18001805145
UTTAR PRADESH, Balrampur, 9454417381, 18001805145
UTTAR PRADESH, Jalaun, 5162-259999, 18001805145
UTTAR PRADESH, Jhansi, 9450075414, 18001805145
UTTAR PRADESH, Kannauj, 05494-235898, 18001805145
UTTAR PRADESH, Lucknow, 0522-2622627, 18001805145
UTTARAKHAND, Almora , 05962-237875, 104
UTTARAKHAND, Bageshwar , 05963-220197, 104
UTTARAKHAND, Chamoli, 01372-251437, 104
UTTARAKHAND, Champawat , 05965-230312, 104
UTTARAKHAND, Dehradun , 0135-2724506, 104
UTTARAKHAND, Haridwar , 01334-239920, 104
UTTARAKHAND, Pauri Garhwal, 01368-222213, 104
UTTARAKHAND, Pithoragarh , 05964-225142, 104
UTTARAKHAND, Nainital , 05946-281234, 104
UTTARAKHAND, Tehri Garhwal , 01376-232093, 104
UTTARAKHAND, Rudraprayag , 01364-233946, 104
UTTARAKHAND, Udham Singh Nagar, 05944-246590, 104
UTTARAKHAND, Uttarkashi , 01374-222641, 104
